,0
TrevPerson,352:55:13
fullgrowngaming,271:16:51
dopeZera,194:32:31
popesquidward,153:53:16
EnNopp112,153:18:44
MajinPhil,135:17:32
NicoSpeedsub,133:01:15
clairelynnd,118:39:26
chopperman9,113:21:39
jess57329,105:15:06
HyrulianKnight,92:29:56
FFerraz1,86:18:48
AntiLink,83:11:34
bewildebeest,82:14:42
TrulyNaN,82:06:42
Draconif,75:02:47
Zunar,69:21:26
Butterlord,69:11:08
VPP,67:49:40
SampleName_,65:35:16
Türkenheimer,64:35:22
bann_jpn,62:00:47
ki9698,61:12:50
MaxSen_G,60:52:05
Avijobat,60:22:13
unlink,59:36:28
flanthis,54:06:34
Marco,52:33:39
Severed_Speedruns,52:22:23
Eumeus14,47:00:25
Zeepo,46:17:28
mrjerkyjerky,44:28:18
ADruck,40:42:29
ETHigPlayz,40:41:09
Blaze1438,40:34:28
Amateseru,40:33:19
LuuuWun,40:13:38
realtimeattack64,39:41:49
shiba,39:38:25
darb_meister30,38:46:25
Rylie,37:36:36
RicoDexter,36:06:05
orima_r,35:59:51
Rubixmagic,34:30:12
Sethblake97,34:28:45
Ostrealava02,34:10:16
bofa_shuckle,33:59:49
Fig02,30:55:03
Devachu,30:55:02
GreenMixTape,30:53:10
SnowieY,30:50:32
TheHumanProtractor,30:25:19
ZootySuzy,30:14:43
atz,29:44:09
Henrz,29:21:50
mousse1204,28:57:39
Kuroshi,28:30:10
Sceph,27:00:50
Dyceron,26:17:39
95Shade,24:44:11
Jimmie1717,24:28:44
Spoo,24:28:35
Medechi,24:08:55
JakeZSR,24:07:42
Haru様,23:57:43
Armaggedun_,23:51:30
FsJuicyJ,23:22:45
thiefbug,22:08:42
TheLegendofZaheer,22:06:02
thesausage,21:48:56
LouLouCore,21:42:49
KenjiiTV,21:42:12
EToGold,20:59:22
Zelkys,19:54:44
ClaireSV,19:43:27
mistmaster1,19:27:59
Linkorange,19:26:01
Phaaze,19:08:59
Shorkweek,18:57:13
jacko_920,18:54:09
Chimera,18:48:59
sva,18:27:53
Kneato,18:21:11
xxShawn,18:17:01
Skull9KiD,17:19:13
Melrose,17:13:13
Riekelt,17:12:56
williamwallace88,16:31:55
Niamek,16:27:49
ArmorySons,16:25:34
JakiJo,16:15:30
katienoelle,16:12:35
MaceKid1,15:48:17
FoxyToaster,15:41:35
SlaskPrask,15:10:53
AmateurHour,15:06:38
AndImJavert1,15:06:21
Bluehits,15:03:02
Your_Bro_Bri,14:56:42
NicV,14:52:21
morpheus080,14:50:16
sullyjhf,14:31:57
SiirZax,14:06:20
roxas4ever,13:59:47
gc_one2,13:56:09
Felix_Helix_TM,13:48:23
brightwolfz,13:48:02
Goron,13:38:22
neckdino,13:35:29
omgatree6,13:24:10
Scibbah,13:23:43
Noctiverse,13:20:58
MiraiScarlet,13:19:42
AwesomeBrewski,13:11:19
jfm2796,13:08:11
Vidya_James,13:07:59
MidKnight,12:52:03
Etchpen,12:45:31
ottotonsorialist,12:43:55
RadiumH,12:39:11
IAmSonaholic,12:26:59
erubi,12:26:30
JustLeeBelmont,12:18:29
Crankeey,12:14:13
1stTheEditor,12:08:22
rubbertoe64,12:07:04
